ID,name,handedness,height,weight,avg,HR
706,Gary Ward,Right,74,195,0.276,130
707,Jim Lonborg,Right,77,200,0.136,3
708,Joe Lis,Right,72,175,0.233,32
709,Dan Meyer,Left,71,180,0.253,86
710,Jim Holt,Left,72,180,0.265,19
712,Larry Herndon,Right,75,190,0.274,107
716,Wallace Johnson,Both,72,173,0.255,5
718,Eddie Leon,Right,72,170,0.236,24
720,Jim Wohlford,Right,71,175,0.26,21
721,J.R. Richard,Right,80,222,0.168,10
722,Bill Voss,Left,74,160,0.227,19
723,Keith Moreland,Right,72,190,0.279,121
725,Alex Johnson,Right,72,205,0.288,78
726,Wayne Krenchicki,Left,73,180,0.266,15
728,Dave Rosello,Right,71,160,0.236,10
730,Paul Schaal,Right,71,165,0.244,57
731,Tito Landrum,Right,71,175,0.249,13
732,Dave Edwards,Right,72,170,0.237,14
733,Mario Guerrero,Right,70,155,0.257,7
734,Tom Tresh,Both,73,180,0.245,153
736,Ron Roenicke,Both,72,180,0.238,17
737,Doug Griffin,Right,72,160,0.245,7
738,Steve Blass,Right,72,165,0.172,1
739,Johnnie LeMaster,Right,74,165,0.222,22
741,Nate Oliver,Right,70,160,0.226,2
742,Ray Sadecki,Left,71,180,0.191,5
743,Ken Rudolph,Right,73,180,0.213,6
744,Wayne Nordhagen,Right,74,205,0.282,39
745,Biff Pocoroba,Both,70,175,0.257,21
746,Len Matuszek,Left,74,190,0.234,30
748,Joe Lefebvre,Left,70,170,0.258,31
749,Jim Maloney,Left,74,190,0.201,7
750,Andre Robertson,Right,70,155,0.251,5
751,Jerry Zimmerman,Right,74,185,0.204,3
754,Chet Lemon,Right,72,190,0.273,215
756,Phil Mankowski,Left,72,180,0.264,8
757,Cleon Jones,Right,72,185,0.281,93
758,Joaquin Andujar,Both,72,170,0.127,5
759,Mike Lum,Left,72,180,0.247,90
760,Johnny Grubb,Left,75,175,0.278,99
761,Curt Motton,Right,68,164,0.213,25
762,Johnny Bench,Right,73,197,0.267,389
763,Dale Berra,Right,72,180,0.236,49
765,Bob Meacham,Both,73,175,0.236,8
767,Carl Warwick,Right,70,170,0.248,31
768,Sam Bowens,Right,73,188,0.223,45
769,George Wright,Both,71,180,0.245,42
770,Luis Aguayo,Right,69,173,0.236,37
771,Hal Lanier,Right,74,180,0.228,8
773,Len Randle,Both,70,169,0.257,27
774,Greg Pryor,Right,72,180,0.25,14
775,Jim Traber,Left,72,194,0.227,27
776,Dave Nelson,Right,70,160,0.244,20
777,Lynn Jones,Right,69,175,0.252,7
778,Bryan Little,Both,70,160,0.245,3
779,Ken Suarez,Right,69,175,0.227,5
780,Rick Peters,Both,69,170,0.277,2
781,Ron Stone,Left,74,185,0.241,6
783,Tommie Agee,Right,71,195,0.255,130
784,Bob Bailey,Right,73,180,0.257,189
785,Cap Peterson,Right,74,195,0.23,19
786,Ted Uhlaender,Left,74,190,0.263,36
787,Ted Simmons,Both,71,193,0.285,248
788,Bobby Murcer,Left,71,160,0.277,252
789,Dick Tracewski,Right,71,160,0.213,8
792,Bill Nahorodny,Right,74,200,0.241,25
